symptoms,disease
"chest_pain, loss_of_balance, lack_of_concentration, dizziness, headache",Hypertension
"lack_of_concentration, loss_of_balance, chest_pain, dizziness, headache",Hypertension
"lack_of_concentration, chest_pain, dizziness, loss_of_balance, headache",Hypertension
"lethargy, weight_gain, depression, abnormal_menstruation, mood_swings, swollen_extremeties, irritability, fatigue, enlarged_thyroid, brittle_nails, dizziness, cold_hands_and_feets",Hypothyroidism
"mood_swings, irritability, depression, abnormal_menstruation, brittle_nails, lethargy, weight_gain, enlarged_thyroid, fatigue, swollen_extremeties, cold_hands_and_feets, dizziness",Hypothyroidism
"lethargy, abnormal_menstruation, swollen_extremeties, dizziness, mood_swings, weight_gain, irritability, enlarged_thyroid, fatigue, depression, brittle_nails, cold_hands_and_feets",Hypothyroidism
"weakness_in_limbs, back_pain, neck_pain, dizziness",Cervical spondylosis
"neck_pain, back_pain, dizziness, weakness_in_limbs",Cervical spondylosis
"neck_pain, weakness_in_limbs, dizziness, back_pain",Cervical spondylosis
"pain_during_bowel_movements, pain_in_anal_region, constipation, irritation_in_anus, bloody_stool",Dimorphic hemmorhoids(piles)
"bloody_stool, pain_during_bowel_movements, irritation_in_anus, constipation, pain_in_anal_region",Dimorphic hemmorhoids(piles)
"pain_during_bowel_movements, bloody_stool, constipation, irritation_in_anus, pain_in_anal_region",Dimorphic hemmorhoids(piles)
"restlessness, lethargy, blurred_and_distorted_vision, fatigue, weight_loss, polyuria, excessive_hunger, obesity, irregular_sugar_level, increased_appetite",Diabetes
"lethargy, blurred_and_distorted_vision, excessive_hunger, obesity, polyuria, restlessness, weight_loss, increased_appetite, irregular_sugar_level, fatigue",Diabetes
"fatigue, weight_loss, excessive_hunger, restlessness, lethargy, obesity, irregular_sugar_level, increased_appetite, blurred_and_distorted_vision, polyuria",Diabetes
"nausea, loss_of_appetite, yellowish_skin, family_history, yellowing_of_eyes, fatigue",Hepatitis C
"family_history, yellowing_of_eyes, loss_of_appetite, nausea, yellowish_skin, fatigue",Hepatitis C
"yellowing_of_eyes, yellowish_skin, fatigue, loss_of_appetite, family_history, nausea",Hepatitis C
"continuous_sneezing, chills, shivering",Allergy
"continuous_sneezing, shivering, chills",Allergy
"chills, shivering, continuous_sneezing",Allergy
"skin_rash, blister, high_fever, red_sore_around_nose, yellow_crust_ooze",Impetigo
"red_sore_around_nose, yellow_crust_ooze, blister, skin_rash, high_fever",Impetigo
"skin_rash, yellow_crust_ooze, red_sore_around_nose, blister, high_fever",Impetigo
"vomiting, altered_sensorium, weakness_of_one_body_side",Paralysis (brain hemorrhage)
"altered_sensorium, weakness_of_one_body_side, vomiting",Paralysis (brain hemorrhage)
"weakness_of_one_body_side, altered_sensorium, vomiting",Paralysis (brain hemorrhage)
"swelling_joints, painful_walking, neck_pain, hip_joint_pain, knee_pain",Osteoarthritis
"neck_pain, hip_joint_pain, knee_pain, painful_walking, swelling_joints",Osteoarthritis
"swelling_joints, knee_pain, hip_joint_pain, painful_walking, neck_pain",Osteoarthritis
"receiving_blood_transfusion, lethargy, yellowing_of_eyes, itching, fatigue, loss_of_appetite, malaise, yellowish_skin, yellow_urine, dark_urine, receiving_unsterile_injections",Hepatitis B
"malaise, dark_urine, receiving_unsterile_injections, itching, lethargy, yellowing_of_eyes, loss_of_appetite, receiving_blood_transfusion, fatigue, yellow_urine, yellowish_skin",Hepatitis B
"yellowish_skin, malaise, dark_urine, receiving_unsterile_injections, itching, fatigue, loss_of_appetite, receiving_blood_transfusion, lethargy, yellow_urine, yellowing_of_eyes",Hepatitis B
"breathlessness, cough, high_fever, fatigue, mucoid_sputum, family_history",Bronchial Asthma
"mucoid_sputum, high_fever, breathlessness, family_history, cough, fatigue",Bronchial Asthma
"high_fever, fatigue, breathlessness, mucoid_sputum, family_history, cough",Bronchial Asthma
"headache, sweating, nausea, high_fever, diarrhoea, vomiting, chills, muscle_pain",Malaria
"diarrhoea, nausea, vomiting, sweating, headache, high_fever, chills, muscle_pain",Malaria
"nausea, chills, headache, vomiting, muscle_pain, sweating, diarrhoea, high_fever",Malaria
"itching, lethargy, fatigue, malaise, skin_rash, swelled_lymph_nodes, red_spots_over_body, high_fever, loss_of_appetite, headache",Chicken pox
"high_fever, malaise, red_spots_over_body, skin_rash, swelled_lymph_nodes, loss_of_appetite, fatigue, lethargy, itching, headache",Chicken pox
"fatigue, red_spots_over_body, lethargy, swelled_lymph_nodes, loss_of_appetite, headache, itching, malaise, high_fever, skin_rash",Chicken pox
"scurring, blackheads, skin_rash, pus_filled_pimples",Acne
"blackheads, pus_filled_pimples, scurring, skin_rash",Acne
"scurring, blackheads, pus_filled_pimples, skin_rash",Acne
"loss_of_appetite, vomiting, passage_of_gases, abdominal_pain, internal_itching",Peptic ulcer disease
"abdominal_pain, loss_of_appetite, passage_of_gases, vomiting, internal_itching",Peptic ulcer disease
"loss_of_appetite, abdominal_pain, internal_itching, vomiting, passage_of_gases",Peptic ulcer disease
"obesity, excessive_hunger, fatigue, increased_appetite, irregular_sugar_level, blurred_and_distorted_vision, weight_loss, polyuria, lethargy, restlessness",Diabetes
"weight_loss, blurred_and_distorted_vision, excessive_hunger, irregular_sugar_level, polyuria, lethargy, increased_appetite, restlessness, fatigue, obesity",Diabetes
"polyuria, lethargy, restlessness, excessive_hunger, increased_appetite, irregular_sugar_level, obesity, weight_loss, fatigue, blurred_and_distorted_vision",Diabetes
"movement_stiffness, painful_walking, swelling_joints, muscle_weakness, stiff_neck",Arthritis
"painful_walking, swelling_joints, stiff_neck, movement_stiffness, muscle_weakness",Arthritis
"muscle_weakness, painful_walking, movement_stiffness, swelling_joints, stiff_neck",Arthritis
"fatigue, obesity, polyuria, irregular_sugar_level, increased_appetite, restlessness, excessive_hunger, weight_loss, lethargy",Diabetes
"restlessness, obesity, irregular_sugar_level, fatigue, increased_appetite, weight_loss, polyuria, lethargy, excessive_hunger",Diabetes
"restlessness, excessive_hunger, weight_loss, irregular_sugar_level, polyuria, increased_appetite, fatigue, obesity, lethargy",Diabetes
"cough, high_fever, mucoid_sputum, family_history, breathlessness",Bronchial Asthma
"breathlessness, cough, family_history, high_fever, mucoid_sputum",Bronchial Asthma
"cough, mucoid_sputum, family_history, high_fever, breathlessness",Bronchial Asthma
"swelling_joints, painful_walking, knee_pain, hip_joint_pain, neck_pain",Osteoarthritis
"hip_joint_pain, swelling_joints, painful_walking, knee_pain, neck_pain",Osteoarthritis
"swelling_joints, painful_walking, knee_pain, neck_pain, hip_joint_pain",Osteoarthritis
"lethargy, yellowish_skin, dark_urine, yellowing_of_eyes, abdominal_pain, malaise, loss_of_appetite, fatigue, receiving_blood_transfusion, yellow_urine, receiving_unsterile_injections, itching",Hepatitis B
"receiving_unsterile_injections, loss_of_appetite, yellowish_skin, fatigue, dark_urine, receiving_blood_transfusion, yellowing_of_eyes, yellow_urine, malaise, itching, abdominal_pain, lethargy",Hepatitis B
"malaise, abdominal_pain, dark_urine, loss_of_appetite, receiving_unsterile_injections, receiving_blood_transfusion, lethargy, fatigue, yellowish_skin, itching, yellow_urine, yellowing_of_eyes",Hepatitis B
"breathlessness, sweating, chest_pain, vomiting",Heart attack
"breathlessness, vomiting, sweating, chest_pain",Heart attack
"breathlessness, vomiting, chest_pain, sweating",Heart attack
"yellowing_of_eyes, fatigue, phlegm, swelled_lymph_nodes, high_fever, vomiting, blood_in_sputum, chest_pain, breathlessness, mild_fever, loss_of_appetite, weight_loss, chills, cough, malaise, sweating",Tuberculosis
"chest_pain, mild_fever, cough, chills, loss_of_appetite, swelled_lymph_nodes, blood_in_sputum, weight_loss, malaise, phlegm, sweating, yellowing_of_eyes, vomiting, breathlessness, high_fever, fatigue",Tuberculosis
"yellowing_of_eyes, mild_fever, chest_pain, breathlessness, chills, blood_in_sputum, weight_loss, vomiting, high_fever, malaise, cough, swelled_lymph_nodes, sweating, phlegm, fatigue, loss_of_appetite",Tuberculosis
"chills, diarrhoea, high_fever, nausea, belly_pain, fatigue, constipation, toxic_look_(typhos), vomiting, abdominal_pain, headache",Typhoid
"chills, headache, diarrhoea, belly_pain, vomiting, abdominal_pain, toxic_look_(typhos), constipation, fatigue, nausea, high_fever",Typhoid
"toxic_look_(typhos), chills, nausea, headache, fatigue, abdominal_pain, constipation, high_fever, vomiting, diarrhoea, belly_pain",Typhoid
"yellowish_skin, loss_of_appetite, nausea, family_history, yellowing_of_eyes, fatigue",Hepatitis C
"yellowing_of_eyes, nausea, family_history, yellowish_skin, loss_of_appetite, fatigue",Hepatitis C
"fatigue, yellowing_of_eyes, family_history, yellowish_skin, loss_of_appetite, nausea",Hepatitis C
"red_sore_around_nose, blister, yellow_crust_ooze, high_fever, skin_rash",Impetigo
"skin_rash, red_sore_around_nose, high_fever, blister, yellow_crust_ooze",Impetigo
"red_sore_around_nose, high_fever, yellow_crust_ooze, skin_rash, blister",Impetigo
"muscle_wasting, extra_marital_contacts, high_fever, patches_in_throat",AIDS
"extra_marital_contacts, high_fever, patches_in_throat, muscle_wasting",AIDS
"high_fever, muscle_wasting, patches_in_throat, extra_marital_contacts",AIDS
"movement_stiffness, stiff_neck, painful_walking, swelling_joints, muscle_weakness",Arthritis
"movement_stiffness, muscle_weakness, stiff_neck, painful_walking, swelling_joints",Arthritis
"painful_walking, movement_stiffness, swelling_joints, muscle_weakness, stiff_neck",Arthritis
"polyuria, excessive_hunger, blurred_and_distorted_vision, fatigue, restlessness, weight_loss, obesity, irregular_sugar_level, increased_appetite",Diabetes
"excessive_hunger, irregular_sugar_level, fatigue, polyuria, blurred_and_distorted_vision, weight_loss, increased_appetite, restlessness, obesity",Diabetes
"blurred_and_distorted_vision, obesity, increased_appetite, fatigue, excessive_hunger, polyuria, irregular_sugar_level, restlessness, weight_loss",Diabetes
"silver_like_dusting, inflammatory_nails, skin_peeling, skin_rash, joint_pain, small_dents_in_nails",Psoriasis
"small_dents_in_nails, joint_pain, inflammatory_nails, silver_like_dusting, skin_peeling, skin_rash",Psoriasis
"small_dents_in_nails, joint_pain, inflammatory_nails, skin_rash, silver_like_dusting, skin_peeling",Psoriasis
"irritability, acidity, blurred_and_distorted_vision, stiff_neck, excessive_hunger, visual_disturbances, depression, headache",Migraine
"excessive_hunger, blurred_and_distorted_vision, acidity, depression, visual_disturbances, stiff_neck, headache, irritability",Migraine
"visual_disturbances, excessive_hunger, acidity, blurred_and_distorted_vision, depression, headache, irritability, stiff_neck",Migraine
"loss_of_balance, dizziness, back_pain, weakness_in_limbs, neck_pain",Cervical spondylosis
"dizziness, back_pain, neck_pain, loss_of_balance, weakness_in_limbs",Cervical spondylosis
"weakness_in_limbs, neck_pain, dizziness, loss_of_balance, back_pain",Cervical spondylosis
"cough, high_fever, family_history, breathlessness, mucoid_sputum",Bronchial Asthma
"mucoid_sputum, family_history, cough, high_fever, breathlessness",Bronchial Asthma
"cough, breathlessness, family_history, mucoid_sputum, high_fever",Bronchial Asthma
"sunken_eyes, dehydration, diarrhoea, vomiting",Gastroenteritis
"diarrhoea, sunken_eyes, vomiting, dehydration",Gastroenteritis
"vomiting, dehydration, sunken_eyes, diarrhoea",Gastroenteritis
"history_of_alcohol_consumption, vomiting, swelling_of_stomach, fluid_overload, distention_of_abdomen, abdominal_pain, yellowish_skin",Alcoholic hepatitis
"fluid_overload, vomiting, history_of_alcohol_consumption, yellowish_skin, distention_of_abdomen, abdominal_pain, swelling_of_stomach",Alcoholic hepatitis
"history_of_alcohol_consumption, swelling_of_stomach, vomiting, abdominal_pain, distention_of_abdomen, yellowish_skin, fluid_overload",Alcoholic hepatitis
"skin_rash, pus_filled_pimples, blackheads, scurring",Acne
"skin_rash, pus_filled_pimples, scurring, blackheads",Acne
"skin_rash, scurring, blackheads, pus_filled_pimples",Acne
"yellow_crust_ooze, red_sore_around_nose, skin_rash, high_fever, blister",Impetigo
"skin_rash, blister, yellow_crust_ooze, high_fever, red_sore_around_nose",Impetigo
"high_fever, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze",Impetigo
"fatigue, itching, yellowing_of_eyes, lethargy, loss_of_appetite, abdominal_pain, receiving_blood_transfusion, yellow_urine, receiving_unsterile_injections, malaise, dark_urine, yellowish_skin",Hepatitis B
"fatigue, malaise, loss_of_appetite, yellowing_of_eyes, itching, receiving_unsterile_injections, yellow_urine, lethargy, yellowish_skin, abdominal_pain, receiving_blood_transfusion, dark_urine",Hepatitis B
"malaise, fatigue, loss_of_appetite, receiving_unsterile_injections, yellowish_skin, yellowing_of_eyes, yellow_urine, dark_urine, abdominal_pain, receiving_blood_transfusion, lethargy, itching",Hepatitis B
"constipation, bloody_stool, irritation_in_anus, pain_in_anal_region, pain_during_bowel_movements",Dimorphic hemmorhoids(piles)
"irritation_in_anus, bloody_stool, pain_in_anal_region, constipation, pain_during_bowel_movements",Dimorphic hemmorhoids(piles)
"irritation_in_anus, bloody_stool, constipation, pain_in_anal_region, pain_during_bowel_movements",Dimorphic hemmorhoids(piles)
"malaise, loss_of_appetite, high_fever, back_pain, joint_pain, red_spots_over_body, nausea, fatigue, muscle_pain, vomiting, chills, pain_behind_the_eyes, skin_rash, headache",Dengue
"nausea, skin_rash, vomiting, fatigue, loss_of_appetite, pain_behind_the_eyes, chills, malaise, back_pain, high_fever, muscle_pain, headache, joint_pain, red_spots_over_body",Dengue
"chills, skin_rash, malaise, pain_behind_the_eyes, nausea, fatigue, muscle_pain, high_fever, back_pain, red_spots_over_body, joint_pain, loss_of_appetite, headache, vomiting",Dengue
"high_fever, muscle_wasting, extra_marital_contacts",AIDS
"extra_marital_contacts, muscle_wasting, high_fever",AIDS
"high_fever, extra_marital_contacts, muscle_wasting",AIDS
"bladder_discomfort, continuous_feel_of_urine, burning_micturition, foul_smell_of urine",Urinary tract infection
"burning_micturition, foul_smell_of urine, continuous_feel_of_urine, bladder_discomfort",Urinary tract infection
"burning_micturition, bladder_discomfort, continuous_feel_of_urine, foul_smell_of urine",Urinary tract infection
"lethargy, cold_hands_and_feets, weight_gain, fatigue, irritability, dizziness, swollen_extremeties, enlarged_thyroid, puffy_face_and_eyes, abnormal_menstruation, brittle_nails, mood_swings, depression",Hypothyroidism
"irritability, mood_swings, cold_hands_and_feets, abnormal_menstruation, enlarged_thyroid, brittle_nails, weight_gain, dizziness, puffy_face_and_eyes, lethargy, depression, fatigue, swollen_extremeties",Hypothyroidism
"puffy_face_and_eyes, lethargy, dizziness, brittle_nails, irritability, abnormal_menstruation, fatigue, weight_gain, swollen_extremeties, enlarged_thyroid, cold_hands_and_feets, mood_swings, depression",Hypothyroidism
"drying_and_tingling_lips, fatigue, anxiety, irritability, palpitations, excessive_hunger, vomiting, slurred_speech, headache, sweating, nausea, blurred_and_distorted_vision",Hypoglycemia
"sweating, palpitations, excessive_hunger, fatigue, blurred_and_distorted_vision, slurred_speech, headache, nausea, vomiting, anxiety, irritability, drying_and_tingling_lips",Hypoglycemia
"excessive_hunger, vomiting, blurred_and_distorted_vision, slurred_speech, nausea, headache, fatigue, irritability, sweating, anxiety, palpitations, drying_and_tingling_lips",Hypoglycemia
"skin_rash, nausea, fatigue, chills, back_pain, high_fever, vomiting, loss_of_appetite, malaise, pain_behind_the_eyes, red_spots_over_body, joint_pain, headache",Dengue
"vomiting, joint_pain, high_fever, loss_of_appetite, chills, red_spots_over_body, pain_behind_the_eyes, malaise, skin_rash, headache, back_pain, fatigue, nausea",Dengue
"back_pain, nausea, skin_rash, joint_pain, fatigue, pain_behind_the_eyes, chills, malaise, red_spots_over_body, headache, loss_of_appetite, high_fever, vomiting",Dengue
"bloody_stool, irritation_in_anus, pain_in_anal_region, pain_during_bowel_movements",Dimorphic hemmorhoids(piles)
"irritation_in_anus, pain_in_anal_region, pain_during_bowel_movements, bloody_stool",Dimorphic hemmorhoids(piles)
"pain_in_anal_region, bloody_stool, irritation_in_anus, pain_during_bowel_movements",Dimorphic hemmorhoids(piles)
"yellowing_of_eyes, fatigue, yellowish_skin, family_history, loss_of_appetite, nausea",Hepatitis C
"yellowish_skin, fatigue, yellowing_of_eyes, loss_of_appetite, family_history, nausea",Hepatitis C
"yellowish_skin, loss_of_appetite, yellowing_of_eyes, family_history, nausea, fatigue",Hepatitis C
"lack_of_concentration, chest_pain, dizziness, headache",Hypertension
"lack_of_concentration, dizziness, headache, chest_pain",Hypertension
"chest_pain, headache, dizziness, lack_of_concentration",Hypertension
"movement_stiffness, swelling_joints, stiff_neck, painful_walking, muscle_weakness",Arthritis
"movement_stiffness, muscle_weakness, swelling_joints, stiff_neck, painful_walking",Arthritis
"stiff_neck, movement_stiffness, swelling_joints, muscle_weakness, painful_walking",Arthritis
"dischromic _patches, nodal_skin_eruptions, itching, skin_rash",Fungal infection
"nodal_skin_eruptions, skin_rash, itching, dischromic _patches",Fungal infection
"skin_rash, nodal_skin_eruptions, itching, dischromic _patches",Fungal infection
"unsteadiness, vomiting, headache, nausea, loss_of_balance, spinning_movements",(vertigo) Paroymsal Positional Vertigo
"loss_of_balance, nausea, headache, spinning_movements, vomiting, unsteadiness",(vertigo) Paroymsal Positional Vertigo
"unsteadiness, loss_of_balance, headache, spinning_movements, nausea, vomiting",(vertigo) Paroymsal Positional Vertigo
"yellowish_skin, fatigue, yellowing_of_eyes, abdominal_pain, dark_urine, vomiting, loss_of_appetite, nausea",Hepatitis D
"vomiting, nausea, dark_urine, loss_of_appetite, fatigue, yellowing_of_eyes, abdominal_pain, yellowish_skin",Hepatitis D
"yellowing_of_eyes, abdominal_pain, loss_of_appetite, vomiting, dark_urine, fatigue, yellowish_skin, nausea",Hepatitis D
"weight_loss, excessive_hunger, muscle_weakness, mood_swings, abnormal_menstruation, fast_heart_rate, restlessness, fatigue, irritability, diarrhoea, sweating",Hyperthyroidism
"excessive_hunger, diarrhoea, sweating, abnormal_menstruation, mood_swings, muscle_weakness, restlessness, fatigue, irritability, weight_loss, fast_heart_rate",Hyperthyroidism
"weight_loss, abnormal_menstruation, mood_swings, sweating, excessive_hunger, irritability, restlessness, fatigue, diarrhoea, fast_heart_rate, muscle_weakness",Hyperthyroidism
"vomiting, passage_of_gases, loss_of_appetite, indigestion, abdominal_pain, internal_itching",Peptic ulcer disease
"indigestion, loss_of_appetite, vomiting, passage_of_gases, abdominal_pain, internal_itching",Peptic ulcer disease
"abdominal_pain, indigestion, loss_of_appetite, internal_itching, passage_of_gases, vomiting",Peptic ulcer disease
"yellowish_skin, vomiting, distention_of_abdomen, fluid_overload, abdominal_pain, swelling_of_stomach, history_of_alcohol_consumption",Alcoholic hepatitis
"abdominal_pain, history_of_alcohol_consumption, fluid_overload, yellowish_skin, distention_of_abdomen, vomiting, swelling_of_stomach",Alcoholic hepatitis
"swelling_of_stomach, yellowish_skin, history_of_alcohol_consumption, fluid_overload, abdominal_pain, vomiting, distention_of_abdomen",Alcoholic hepatitis
"blister, skin_rash, high_fever, yellow_crust_ooze, red_sore_around_nose",Impetigo
"skin_rash, red_sore_around_nose, yellow_crust_ooze, blister, high_fever",Impetigo
"high_fever, yellow_crust_ooze, skin_rash, blister, red_sore_around_nose",Impetigo
"high_fever, itching, yellowish_skin, abdominal_pain, fatigue, vomiting, dark_urine, weight_loss",Jaundice
"vomiting, abdominal_pain, weight_loss, yellowish_skin, itching, fatigue, high_fever, dark_urine",Jaundice
"weight_loss, abdominal_pain, itching, dark_urine, vomiting, fatigue, high_fever, yellowish_skin",Jaundice
"weakness_of_one_body_side, altered_sensorium, headache, vomiting",Paralysis (brain hemorrhage)
"weakness_of_one_body_side, headache, vomiting, altered_sensorium",Paralysis (brain hemorrhage)
"vomiting, headache, weakness_of_one_body_side, altered_sensorium",Paralysis (brain hemorrhage)
"malaise, fatigue, rusty_sputum, sweating, fast_heart_rate, phlegm, cough, high_fever, chills, chest_pain, breathlessness",Pneumonia
"fast_heart_rate, rusty_sputum, phlegm, chills, malaise, cough, breathlessness, sweating, fatigue, chest_pain, high_fever",Pneumonia
"fast_heart_rate, malaise, sweating, cough, chest_pain, rusty_sputum, breathlessness, chills, phlegm, fatigue, high_fever",Pneumonia
"blurred_and_distorted_vision, weight_loss, polyuria, increased_appetite, irregular_sugar_level, obesity, lethargy, fatigue, excessive_hunger",Diabetes
"polyuria, blurred_and_distorted_vision, obesity, irregular_sugar_level, increased_appetite, excessive_hunger, weight_loss, fatigue, lethargy",Diabetes
"obesity, increased_appetite, irregular_sugar_level, weight_loss, polyuria, blurred_and_distorted_vision, fatigue, excessive_hunger, lethargy",Diabetes
"itching, nodal_skin_eruptions, skin_rash, dischromic _patches",Fungal infection
"itching, dischromic _patches, nodal_skin_eruptions, skin_rash",Fungal infection
"itching, skin_rash, nodal_skin_eruptions, dischromic _patches",Fungal infection
"sweating, diarrhoea, muscle_pain, chills, nausea, high_fever, vomiting",Malaria
"muscle_pain, sweating, nausea, diarrhoea, high_fever, vomiting, chills",Malaria
"nausea, vomiting, chills, high_fever, sweating, diarrhoea, muscle_pain",Malaria
"loss_of_appetite, nausea, joint_pain, yellowish_skin, muscle_pain, mild_fever, yellowing_of_eyes, vomiting, abdominal_pain, diarrhoea, dark_urine",hepatitis A
"mild_fever, joint_pain, vomiting, yellowing_of_eyes, diarrhoea, dark_urine, loss_of_appetite, yellowish_skin, abdominal_pain, nausea, muscle_pain",hepatitis A
"yellowing_of_eyes, joint_pain, mild_fever, loss_of_appetite, vomiting, muscle_pain, yellowish_skin, nausea, diarrhoea, dark_urine, abdominal_pain",hepatitis A
"spotting_ urination, burning_micturition, stomach_pain, itching, skin_rash",Drug Reaction
"burning_micturition, spotting_ urination, stomach_pain, skin_rash, itching",Drug Reaction
"skin_rash, stomach_pain, itching, burning_micturition, spotting_ urination",Drug Reaction
"burning_micturition, foul_smell_of urine, continuous_feel_of_urine, bladder_discomfort",Urinary tract infection
"continuous_feel_of_urine, bladder_discomfort, burning_micturition, foul_smell_of urine",Urinary tract infection
"burning_micturition, foul_smell_of urine, bladder_discomfort, continuous_feel_of_urine",Urinary tract infection
"headache, lack_of_concentration, dizziness, loss_of_balance",Hypertension
"lack_of_concentration, dizziness, headache, loss_of_balance",Hypertension
"headache, loss_of_balance, lack_of_concentration, dizziness",Hypertension
"ulcers_on_tongue, vomiting, acidity, cough, chest_pain",GERD
"ulcers_on_tongue, vomiting, cough, chest_pain, acidity",GERD
"cough, ulcers_on_tongue, acidity, vomiting, chest_pain",GERD
"extra_marital_contacts, high_fever, muscle_wasting, patches_in_throat",AIDS
"patches_in_throat, muscle_wasting, extra_marital_contacts, high_fever",AIDS
"extra_marital_contacts, patches_in_throat, high_fever, muscle_wasting",AIDS
"bloody_stool, pain_in_anal_region, pain_during_bowel_movements, constipation",Dimorphic hemmorhoids(piles)
"bloody_stool, constipation, pain_during_bowel_movements, pain_in_anal_region",Dimorphic hemmorhoids(piles)
"pain_in_anal_region, constipation, pain_during_bowel_movements, bloody_stool",Dimorphic hemmorhoids(piles)
"loss_of_appetite, yellowing_of_eyes, receiving_unsterile_injections, yellowish_skin, lethargy, receiving_blood_transfusion, itching, malaise, yellow_urine, dark_urine, fatigue, abdominal_pain",Hepatitis B
"yellow_urine, malaise, receiving_unsterile_injections, dark_urine, itching, loss_of_appetite, abdominal_pain, receiving_blood_transfusion, fatigue, yellowing_of_eyes, lethargy, yellowish_skin",Hepatitis B
"fatigue, receiving_blood_transfusion, itching, malaise, receiving_unsterile_injections, abdominal_pain, lethargy, yellow_urine, loss_of_appetite, yellowing_of_eyes, dark_urine, yellowish_skin",Hepatitis B
"high_fever, cough, fatigue, family_history, breathlessness, mucoid_sputum",Bronchial Asthma
"mucoid_sputum, fatigue, family_history, high_fever, cough, breathlessness",Bronchial Asthma
"breathlessness, mucoid_sputum, family_history, cough, fatigue, high_fever",Bronchial Asthma
"swelling_of_stomach, distention_of_abdomen, fluid_overload, vomiting, yellowish_skin, history_of_alcohol_consumption, abdominal_pain",Alcoholic hepatitis
"vomiting, swelling_of_stomach, history_of_alcohol_consumption, distention_of_abdomen, abdominal_pain, yellowish_skin, fluid_overload",Alcoholic hepatitis
"yellowish_skin, history_of_alcohol_consumption, vomiting, distention_of_abdomen, swelling_of_stomach, abdominal_pain, fluid_overload",Alcoholic hepatitis
"sunken_eyes, dehydration, diarrhoea",Gastroenteritis
"dehydration, sunken_eyes, diarrhoea",Gastroenteritis
"dehydration, diarrhoea, sunken_eyes",Gastroenteritis
"pain_behind_the_eyes, muscle_pain, skin_rash, back_pain, vomiting, nausea, loss_of_appetite, headache, high_fever, joint_pain, chills, malaise, red_spots_over_body, fatigue",Dengue
"skin_rash, malaise, high_fever, back_pain, loss_of_appetite, pain_behind_the_eyes, red_spots_over_body, fatigue, vomiting, headache, muscle_pain, chills, joint_pain, nausea",Dengue
"malaise, joint_pain, skin_rash, headache, high_fever, red_spots_over_body, chills, nausea, pain_behind_the_eyes, fatigue, muscle_pain, loss_of_appetite, vomiting, back_pain",Dengue
"headache, spinning_movements, unsteadiness, nausea, loss_of_balance, vomiting",(vertigo) Paroymsal Positional Vertigo
"spinning_movements, loss_of_balance, unsteadiness, vomiting, headache, nausea",(vertigo) Paroymsal Positional Vertigo
"headache, loss_of_balance, nausea, spinning_movements, unsteadiness, vomiting",(vertigo) Paroymsal Positional Vertigo
"excessive_hunger, blurred_and_distorted_vision, restlessness, increased_appetite, lethargy, obesity, irregular_sugar_level, polyuria, fatigue, weight_loss",Diabetes
"irregular_sugar_level, excessive_hunger, increased_appetite, obesity, polyuria, fatigue, blurred_and_distorted_vision, lethargy, weight_loss, restlessness",Diabetes
"obesity, lethargy, fatigue, increased_appetite, polyuria, restlessness, blurred_and_distorted_vision, irregular_sugar_level, weight_loss, excessive_hunger",Diabetes
"bruising, swollen_blood_vessels, swollen_legs, prominent_veins_on_calf, fatigue, obesity",Varicose veins
"prominent_veins_on_calf, swollen_legs, swollen_blood_vessels, fatigue, obesity, bruising",Varicose veins
"obesity, fatigue, bruising, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf",Varicose veins
"obesity, swollen_legs, bruising, fatigue, prominent_veins_on_calf, swollen_blood_vessels",Varicose veins
"bruising, prominent_veins_on_calf, swollen_legs, swollen_blood_vessels, fatigue, obesity",Varicose veins
"swollen_blood_vessels, fatigue, bruising, prominent_veins_on_calf, swollen_legs, obesity",Varicose veins
"painful_walking, muscle_weakness, swelling_joints, movement_stiffness, stiff_neck",Arthritis
"muscle_weakness, painful_walking, stiff_neck, swelling_joints, movement_stiffness",Arthritis
"stiff_neck, painful_walking, swelling_joints, movement_stiffness, muscle_weakness",Arthritis
"swelled_lymph_nodes, high_fever, throat_irritation, congestion, cough, loss_of_smell, redness_of_eyes, headache, chills, phlegm, sinus_pressure, malaise, muscle_pain, fatigue, chest_pain, runny_nose, continuous_sneezing",Common Cold
"throat_irritation, continuous_sneezing, chills, redness_of_eyes, chest_pain, fatigue, cough, runny_nose, malaise, headache, high_fever, loss_of_smell, congestion, phlegm, sinus_pressure, swelled_lymph_nodes, muscle_pain",Common Cold
"congestion, fatigue, chest_pain, loss_of_smell, runny_nose, throat_irritation, high_fever, swelled_lymph_nodes, redness_of_eyes, cough, headache, chills, continuous_sneezing, malaise, phlegm, muscle_pain, sinus_pressure",Common Cold
"skin_rash, small_dents_in_nails, joint_pain, inflammatory_nails, silver_like_dusting, skin_peeling",Psoriasis
"joint_pain, skin_peeling, small_dents_in_nails, silver_like_dusting, skin_rash, inflammatory_nails",Psoriasis
"inflammatory_nails, silver_like_dusting, joint_pain, skin_rash, skin_peeling, small_dents_in_nails",Psoriasis
"bladder_discomfort, burning_micturition, continuous_feel_of_urine",Urinary tract infection
"continuous_feel_of_urine, burning_micturition, bladder_discomfort",Urinary tract infection
"bladder_discomfort, continuous_feel_of_urine, burning_micturition",Urinary tract infection
