symptoms,disease
"indigestion, passage_of_gases, abdominal_pain, vomiting, internal_itching",peptic ulcer disease
"internal_itching, passage_of_gases, indigestion, abdominal_pain, vomiting",peptic ulcer disease
"extreme exhaustion, diarrhea, heartburn-like chest pain, severe chest pain, ache down left arm, jaw pain, sweating, shaking, vomiting, pain down both arms",heart attack
"ache down left arm, heartburn-like chest pain, diarrhea, pain down both arms, shaking, extreme exhaustion, jaw pain, sweating, vomiting, severe chest pain",heart attack
"ache down left arm, vomiting, sweating, pain down both arms, severe chest pain, extreme exhaustion, heartburn-like chest pain, diarrhea, jaw pain, shaking",heart attack
"muscle_pain, sweating, high_fever, diarrhoea, nausea, chills, vomiting, headache",malaria
"vomiting, chills, high_fever, nausea, sweating, muscle_pain, diarrhoea, headache",malaria
"headache, nausea, sweating, diarrhoea, muscle_pain, high_fever, chills, vomiting",malaria
"anxiety, heart palpitations, ear pain and fullness, shaking, shortness of breath, chest pain, sweating",gerd
"shaking, shortness of breath, chest pain, heart palpitations, sweating, anxiety, ear pain and fullness",gerd
"shortness of breath, ear pain and fullness, anxiety, heart palpitations, shaking, chest pain, sweating",gerd
"blisters with clear fluid, secondary skin infection",impetigo
"secondary skin infection, blisters with clear fluid",impetigo
"knee_pain, hip_joint_pain, neck_pain, swelling_joints, painful_walking, joint_pain",osteoarthritis
"knee_pain, swelling_joints, neck_pain, joint_pain, painful_walking, hip_joint_pain",osteoarthritis
"joint_pain, knee_pain, neck_pain, hip_joint_pain, painful_walking, swelling_joints",osteoarthritis
"thickening of tissue around upper respiratory tract, sleep apnea, snoring, enlarged tongue",hypothyroidism
"enlarged tongue, snoring, thickening of tissue around upper respiratory tract, sleep apnea",hypothyroidism
"sleep apnea, thickening of tissue around upper respiratory tract, enlarged tongue, snoring",hypothyroidism
"body aches, congestion",common cold
"congestion, body aches",common cold
"suspicion of drug-facilitated incidents, fear of medication access issues, concern about obtaining prescriptions",substance abuse
"suspicion of drug-facilitated incidents, concern about obtaining prescriptions, fear of medication access issues",substance abuse
"concern about obtaining prescriptions, fear of medication access issues, suspicion of drug-facilitated incidents",substance abuse
"frequent frustration, difficulty focusing and processing information, impatience, difficulty with emotional regulation",adhd
"difficulty with emotional regulation, frequent frustration, impatience, difficulty focusing and processing information",adhd
"difficulty with emotional regulation, difficulty focusing and processing information, impatience, frequent frustration",adhd
"sudden face drooping on one side, sudden slurred or garbled speech, arm weakness or drift on one side",stroke
"arm weakness or drift on one side, sudden face drooping on one side, sudden slurred or garbled speech",stroke
"sudden face drooping on one side, arm weakness or drift on one side, sudden slurred or garbled speech",stroke
"dull ache in lower abdomen, urgency to urinate",urinary tract infection
"urgency to urinate, dull ache in lower abdomen",urinary tract infection
"neck_pain, loss_of_balance, dizziness, back_pain, weakness_in_limbs",cervical spondylosis
"neck_pain, weakness_in_limbs, loss_of_balance, back_pain, dizziness",cervical spondylosis
"loss_of_balance, neck_pain, dizziness, back_pain, weakness_in_limbs",cervical spondylosis
"itchy or painful skin in the genital area, frustration with current treatment outcomes, genital lesions or patches, skin redness or inflammation in affected areas, emotional distress due to misdiagnosis, scaly or flaky skin on the genitals",psoriasis
"scaly or flaky skin on the genitals, emotional distress due to misdiagnosis, genital lesions or patches, frustration with current treatment outcomes, skin redness or inflammation in affected areas, itchy or painful skin in the genital area",psoriasis
"emotional distress due to misdiagnosis, skin redness or inflammation in affected areas, itchy or painful skin in the genital area, frustration with current treatment outcomes, scaly or flaky skin on the genitals, genital lesions or patches",psoriasis
"swelling_of_stomach, vomiting, history_of_alcohol_consumption, distention_of_abdomen, abdominal_pain, yellowish_skin",alcoholic hepatitis
"vomiting, history_of_alcohol_consumption, swelling_of_stomach, yellowish_skin, abdominal_pain, distention_of_abdomen",alcoholic hepatitis
"distention_of_abdomen, vomiting, history_of_alcohol_consumption, swelling_of_stomach, abdominal_pain, yellowish_skin",alcoholic hepatitis
"hives, dermatographia, elevated heart rate",obesity
"dermatographia, elevated heart rate, hives",obesity
"elevated heart rate, dermatographia, hives",obesity
"headache, chills, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain, high_fever, vomiting, nausea, fatigue",typhoid
"constipation, fatigue, chills, toxic_look_(typhos), diarrhoea, abdominal_pain, vomiting, belly_pain, headache, nausea, high_fever",typhoid
"belly_pain, nausea, vomiting, fatigue, constipation, high_fever, toxic_look_(typhos), headache, diarrhoea, chills, abdominal_pain",typhoid
"pus_filled_pimples, skin_rash, scurring",acne
"scurring, skin_rash, pus_filled_pimples",acne
"skin_rash, scurring, pus_filled_pimples",acne
"intrusive thoughts, anxiety related to obsessions, intense fear of causing harm, repetitive cycling of obsessive thoughts",ocd
"repetitive cycling of obsessive thoughts, intrusive thoughts, anxiety related to obsessions, intense fear of causing harm",ocd
"intrusive thoughts, repetitive cycling of obsessive thoughts, anxiety related to obsessions, intense fear of causing harm",ocd
"vomiting, chest_pain, sweating, breathlessness",heart attack
"chest_pain, sweating, breathlessness, vomiting",heart attack
"chest_pain, breathlessness, sweating, vomiting",heart attack
"cramps, swollen_blood_vessels, obesity, swollen_legs, fatigue, prominent_veins_on_calf",varicose veins
"fatigue, swollen_blood_vessels, obesity, cramps, prominent_veins_on_calf, swollen_legs",varicose veins
"obesity, fatigue, prominent_veins_on_calf, swollen_blood_vessels, swollen_legs, cramps",varicose veins
"not obeying traffic rules, stealing, lying to authorities, driving without license, substance abuse",autism spectrum disorder
"not obeying traffic rules, driving without license, lying to authorities, stealing, substance abuse",autism spectrum disorder
"substance abuse, driving without license, not obeying traffic rules, stealing, lying to authorities",autism spectrum disorder
"abdominal bloating, pain from bloating, lower back pain, constipation",endometriosis
"abdominal bloating, lower back pain, constipation, pain from bloating",endometriosis
"lower back pain, pain from bloating, abdominal bloating, constipation",endometriosis
"heart palpitations, shortness of breath, chest pain, chest burning, insomnia",gerd
"shortness of breath, insomnia, chest pain, heart palpitations, chest burning",gerd
"insomnia, heart palpitations, shortness of breath, chest burning, chest pain",gerd
"moderate/severe asthma, lungs fail during exercise, requires albuterol inhaler or nebulizer",bronchial asthma
"lungs fail during exercise, requires albuterol inhaler or nebulizer, moderate/severe asthma",bronchial asthma
"requires albuterol inhaler or nebulizer, moderate/severe asthma, lungs fail during exercise",bronchial asthma
"itching, urticaria, ige mediated reactions, hypotension, abdominal pain, angioedema",psoriasis
"ige mediated reactions, itching, hypotension, urticaria, abdominal pain, angioedema",psoriasis
"angioedema, urticaria, ige mediated reactions, hypotension, itching, abdominal pain",psoriasis
"cooking food, walking, weight loss",obesity
"walking, cooking food, weight loss",obesity
"weight loss, walking, cooking food",obesity
"hypoglycemia (low blood glucose), risk of cerebral complications due to prolonged hypoglycemia, fainting episodes",type 2 diabetes
"fainting episodes, hypoglycemia (low blood glucose), risk of cerebral complications due to prolonged hypoglycemia",type 2 diabetes
"risk of cerebral complications due to prolonged hypoglycemia, fainting episodes, hypoglycemia (low blood glucose)",type 2 diabetes
"nodal_skin_eruptions, itching, skin_rash, dischromic _patches",fungal infection
"nodal_skin_eruptions, skin_rash, itching, dischromic _patches",fungal infection
"nodal_skin_eruptions, dischromic _patches, itching, skin_rash",fungal infection
"sore throat, body aches",common cold
"body aches, sore throat",common cold
"compulsive behavior, anxiety-related habits, restlessness, intrusive thoughts",substance abuse
"intrusive thoughts, restlessness, anxiety-related habits, compulsive behavior",substance abuse
"anxiety-related habits, restlessness, compulsive behavior, intrusive thoughts",substance abuse
"skin_rash, pain_behind_the_eyes, headache, vomiting, joint_pain, muscle_pain, chills, nausea, loss_of_appetite, back_pain, fatigue, malaise, high_fever",dengue
"pain_behind_the_eyes, nausea, headache, skin_rash, chills, joint_pain, muscle_pain, vomiting, malaise, high_fever, loss_of_appetite, back_pain, fatigue",dengue
"malaise, chills, fatigue, back_pain, muscle_pain, high_fever, pain_behind_the_eyes, skin_rash, joint_pain, loss_of_appetite, vomiting, nausea, headache",dengue
"high_fever, yellowing_of_eyes, weight_loss, fatigue, mild_fever, phlegm, loss_of_appetite, malaise, chest_pain, vomiting, swelled_lymph_nodes, blood_in_sputum, cough, breathlessness, chills",tuberculosis
"swelled_lymph_nodes, blood_in_sputum, weight_loss, cough, yellowing_of_eyes, phlegm, malaise, chills, loss_of_appetite, vomiting, fatigue, mild_fever, breathlessness, chest_pain, high_fever",tuberculosis
"chest_pain, chills, cough, malaise, fatigue, vomiting, weight_loss, breathlessness, blood_in_sputum, yellowing_of_eyes, high_fever, loss_of_appetite, mild_fever, swelled_lymph_nodes, phlegm",tuberculosis
"blister, high_fever, yellow_crust_ooze, skin_rash, red_sore_around_nose",impetigo
"red_sore_around_nose, yellow_crust_ooze, high_fever, skin_rash, blister",impetigo
"skin_rash, high_fever, red_sore_around_nose, blister, yellow_crust_ooze",impetigo
"emotional instability, fear of abandonment, extreme black and white thinking",stroke
"extreme black and white thinking, emotional instability, fear of abandonment",stroke
"emotional instability, extreme black and white thinking, fear of abandonment",stroke
"loss of control over substance use, neglecting responsibilities due to substance use, physical health issues related to substance use, developing tolerance to substances, increased risk of overdose, continuing use despite negative consequences, experiencing withdrawal symptoms, craving for substances",substance abuse
"developing tolerance to substances, loss of control over substance use, increased risk of overdose, neglecting responsibilities due to substance use, continuing use despite negative consequences, experiencing withdrawal symptoms, craving for substances, physical health issues related to substance use",substance abuse
"physical health issues related to substance use, craving for substances, increased risk of overdose, neglecting responsibilities due to substance use, experiencing withdrawal symptoms, developing tolerance to substances, continuing use despite negative consequences, loss of control over substance use",substance abuse
"tingly sensation, difficulty swallowing",allergy
"difficulty swallowing, tingly sensation",allergy
"scurring, blackheads, skin_rash",acne
"scurring, skin_rash, blackheads",acne
"blackheads, scurring, skin_rash",acne
"self-isolation, panic attacks, irritability and anger outbursts, high blood pressure, feelings of disconnection from family, hyperventilation",ptsd
"high blood pressure, feelings of disconnection from family, irritability and anger outbursts, panic attacks, self-isolation, hyperventilation",ptsd
"feelings of disconnection from family, self-isolation, high blood pressure, irritability and anger outbursts, panic attacks, hyperventilation",ptsd
"indigestion, abdominal_pain, internal_itching, passage_of_gases, vomiting",peptic ulcer disease
"abdominal_pain, passage_of_gases, indigestion, internal_itching, vomiting",peptic ulcer disease
"vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching",peptic ulcer disease
"episodes of mania and depression, intense focus during manic phases, increased sensitivity to stimuli, mood swings",bipolar disorder
"increased sensitivity to stimuli, mood swings, intense focus during manic phases, episodes of mania and depression",bipolar disorder
"intense focus during manic phases, increased sensitivity to stimuli, episodes of mania and depression, mood swings",bipolar disorder
"racing thoughts or spiraling thoughts, waking up with feelings of depression, sweaty or clammy hands, early bedtimes as a form of avoidance, excessive worry, nausea or upset stomach, health-related anxiety, increased heart rate or palpitations",anxiety
"early bedtimes as a form of avoidance, excessive worry, sweaty or clammy hands, nausea or upset stomach, waking up with feelings of depression, racing thoughts or spiraling thoughts, health-related anxiety, increased heart rate or palpitations",anxiety
"racing thoughts or spiraling thoughts, health-related anxiety, waking up with feelings of depression, excessive worry, sweaty or clammy hands, early bedtimes as a form of avoidance, increased heart rate or palpitations, nausea or upset stomach",anxiety
"distended abdomen, nausea, jaundice",tuberculosis
"nausea, distended abdomen, jaundice",tuberculosis
"jaundice, nausea, distended abdomen",tuberculosis
"abdominal_pain, fluid_overload, swelling_of_stomach, yellowish_skin, vomiting, distention_of_abdomen, history_of_alcohol_consumption",alcoholic hepatitis
"swelling_of_stomach, history_of_alcohol_consumption, distention_of_abdomen, yellowish_skin, fluid_overload, vomiting, abdominal_pain",alcoholic hepatitis
"yellowish_skin, vomiting, swelling_of_stomach, fluid_overload, abdominal_pain, history_of_alcohol_consumption, distention_of_abdomen",alcoholic hepatitis
"weight_loss, dark_urine, high_fever, yellowish_skin, fatigue, itching, vomiting",jaundice
"fatigue, vomiting, dark_urine, itching, yellowish_skin, high_fever, weight_loss",jaundice
"high_fever, fatigue, vomiting, itching, weight_loss, yellowish_skin, dark_urine",jaundice
"vomiting, high_fever, nausea, chills, fatigue, headache, constipation, toxic_look_(typhos), diarrhoea, belly_pain",typhoid
"high_fever, belly_pain, constipation, fatigue, diarrhoea, toxic_look_(typhos), nausea, headache, vomiting, chills",typhoid
"chills, toxic_look_(typhos), fatigue, diarrhoea, high_fever, headache, vomiting, belly_pain, constipation, nausea",typhoid
"throat closing, chest pain, rib pain, excessive burping, arm and back pain, shortness of breath, stomach pain",gerd
"stomach pain, throat closing, chest pain, arm and back pain, excessive burping, rib pain, shortness of breath",gerd
"excessive burping, shortness of breath, rib pain, stomach pain, chest pain, throat closing, arm and back pain",gerd
"nausea and vomiting, increasing pelvic pain with age, pelvic pain",endometriosis
"increasing pelvic pain with age, nausea and vomiting, pelvic pain",endometriosis
"increasing pelvic pain with age, pelvic pain, nausea and vomiting",endometriosis
"mildly swollen areas, thin crust on the surface",impetigo
"thin crust on the surface, mildly swollen areas",impetigo
"tremors, mood swings",alcoholic hepatitis
"mood swings, tremors",alcoholic hepatitis
"heart palpitations, fatigue associated with anxiety, vertigo, dizziness, bounding pulse due to anxiety, jaw tension or pain (tmj) related to stress",anxiety
"dizziness, jaw tension or pain (tmj) related to stress, bounding pulse due to anxiety, vertigo, heart palpitations, fatigue associated with anxiety",anxiety
"heart palpitations, jaw tension or pain (tmj) related to stress, fatigue associated with anxiety, bounding pulse due to anxiety, vertigo, dizziness",anxiety
"such as turning switches on and off, needing to perform actions repeatedly, such as ensuring doors are locked, repetitive checking behaviors, compulsive double-checking of tasks, including checking the stove or hob",ocd
"repetitive checking behaviors, such as turning switches on and off, needing to perform actions repeatedly, compulsive double-checking of tasks, including checking the stove or hob, such as ensuring doors are locked",ocd
"such as turning switches on and off, compulsive double-checking of tasks, needing to perform actions repeatedly, such as ensuring doors are locked, including checking the stove or hob, repetitive checking behaviors",ocd
"restricted motion after rest, osteophyte formation",osteoarthritis
"osteophyte formation, restricted motion after rest",osteoarthritis
"thickened yellow nails, nail separation",fungal infection
"nail separation, thickened yellow nails",fungal infection
"fatigue, breathlessness, mucoid_sputum, cough, high_fever, family_history",bronchial asthma
"family_history, high_fever, cough, breathlessness, fatigue, mucoid_sputum",bronchial asthma
"cough, mucoid_sputum, breathlessness, fatigue, high_fever, family_history",bronchial asthma
"dysautonomia, mcas, pots",celiac disease
"pots, mcas, dysautonomia",celiac disease
"mcas, dysautonomia, pots",celiac disease
"irritability, personality changes",alcoholic hepatitis
"personality changes, irritability",alcoholic hepatitis
"swelled_lymph_nodes, fatigue, chills, headache, high_fever, throat_irritation, muscle_pain, cough, loss_of_smell, congestion, runny_nose, phlegm, redness_of_eyes, chest_pain, sinus_pressure, continuous_sneezing, malaise",common cold
"fatigue, chest_pain, throat_irritation, chills, malaise, phlegm, runny_nose, swelled_lymph_nodes, continuous_sneezing, headache, loss_of_smell, redness_of_eyes, cough, congestion, sinus_pressure, muscle_pain, high_fever",common cold
"runny_nose, muscle_pain, loss_of_smell, continuous_sneezing, swelled_lymph_nodes, malaise, cough, phlegm, high_fever, chest_pain, chills, throat_irritation, sinus_pressure, headache, redness_of_eyes, congestion, fatigue",common cold
"dizziness, lack_of_concentration, headache, chest_pain",hypertension
"chest_pain, dizziness, headache, lack_of_concentration",hypertension
"headache, lack_of_concentration, dizziness, chest_pain",hypertension
"passage_of_gases, vomiting, loss_of_appetite, abdominal_pain, indigestion, internal_itching",peptic ulcer disease
"loss_of_appetite, indigestion, internal_itching, abdominal_pain, passage_of_gases, vomiting",peptic ulcer disease
"passage_of_gases, indigestion, abdominal_pain, internal_itching, loss_of_appetite, vomiting",peptic ulcer disease
"double vision, stroke-like symptoms",migraine
"stroke-like symptoms, double vision",migraine
"vomiting, weakness_of_one_body_side, altered_sensorium, headache",paralysis (brain hemorrhage)
"weakness_of_one_body_side, altered_sensorium, headache, vomiting",paralysis (brain hemorrhage)
"weakness_of_one_body_side, headache, altered_sensorium, vomiting",paralysis (brain hemorrhage)
"swelling_of_stomach, history_of_alcohol_consumption, yellowish_skin, vomiting, distention_of_abdomen, fluid_overload",alcoholic hepatitis
"history_of_alcohol_consumption, distention_of_abdomen, vomiting, swelling_of_stomach, fluid_overload, yellowish_skin",alcoholic hepatitis
"yellowish_skin, history_of_alcohol_consumption, distention_of_abdomen, fluid_overload, vomiting, swelling_of_stomach",alcoholic hepatitis
"muscle and joint pain, persistent fatigue, difficulty concentrating",covid-19
"persistent fatigue, muscle and joint pain, difficulty concentrating",covid-19
"difficulty concentrating, muscle and joint pain, persistent fatigue",covid-19
"digestive issues with casein, sleepy after eating wheat",allergy
"sleepy after eating wheat, digestive issues with casein",allergy
"dermatological changes, frequent bacterial infections",aids
"frequent bacterial infections, dermatological changes",aids
"near fainting, difficulty breathing, vomiting, choking, throat closing",gerd
"difficulty breathing, near fainting, choking, vomiting, throat closing",gerd
"choking, vomiting, throat closing, difficulty breathing, near fainting",gerd
"reduced appetite, digestive problems",obesity
"digestive problems, reduced appetite",obesity
"receiving_blood_transfusion, fatigue, yellowish_skin, loss_of_appetite, itching, dark_urine, yellowing_of_eyes, abdominal_pain, lethargy, receiving_unsterile_injections, yellow_urine, malaise",hepatitis b
"yellow_urine, dark_urine, yellowish_skin, loss_of_appetite, lethargy, receiving_unsterile_injections, receiving_blood_transfusion, abdominal_pain, fatigue, malaise, itching, yellowing_of_eyes",hepatitis b
"itching, loss_of_appetite, receiving_unsterile_injections, abdominal_pain, yellow_urine, fatigue, receiving_blood_transfusion, yellowish_skin, yellowing_of_eyes, malaise, lethargy, dark_urine",hepatitis b
"joint_pain, silver_like_dusting, skin_peeling, inflammatory_nails, small_dents_in_nails",psoriasis
"skin_peeling, inflammatory_nails, silver_like_dusting, joint_pain, small_dents_in_nails",psoriasis
"small_dents_in_nails, silver_like_dusting, skin_peeling, joint_pain, inflammatory_nails",psoriasis
"muscle pain, joint pain, nausea, migraines, food sensitivities, irritable bowel syndrome, chronic fatigue",chronic fatigue syndrome
"food sensitivities, joint pain, migraines, nausea, irritable bowel syndrome, muscle pain, chronic fatigue",chronic fatigue syndrome
"chronic fatigue, nausea, irritable bowel syndrome, migraines, joint pain, food sensitivities, muscle pain",chronic fatigue syndrome
"headache, altered_sensorium, vomiting",paralysis (brain hemorrhage)
"headache, vomiting, altered_sensorium",paralysis (brain hemorrhage)
"altered_sensorium, vomiting, headache",paralysis (brain hemorrhage)
"burning_micturition, foul_smell_of urine, continuous_feel_of_urine, bladder_discomfort",urinary tract infection
"continuous_feel_of_urine, foul_smell_of urine, bladder_discomfort, burning_micturition",urinary tract infection
"burning_micturition, continuous_feel_of_urine, foul_smell_of urine, bladder_discomfort",urinary tract infection
"excessive_hunger, slurred_speech, fatigue, drying_and_tingling_lips, irritability, sweating, nausea, palpitations, headache, anxiety, blurred_and_distorted_vision",hypoglycemia
"palpitations, blurred_and_distorted_vision, fatigue, excessive_hunger, slurred_speech, drying_and_tingling_lips, anxiety, headache, sweating, irritability, nausea",hypoglycemia
"excessive_hunger, fatigue, nausea, palpitations, drying_and_tingling_lips, sweating, headache, blurred_and_distorted_vision, irritability, anxiety, slurred_speech",hypoglycemia
"slurred speech, extremities tingling, giggling, memory issues, worsened sensory processing, delirium",migraine
"slurred speech, delirium, memory issues, giggling, extremities tingling, worsened sensory processing",migraine
"slurred speech, memory issues, delirium, giggling, extremities tingling, worsened sensory processing",migraine
"seizures or convulsions, persistent headaches, frequent migraines",substance abuse
"frequent migraines, seizures or convulsions, persistent headaches",substance abuse
"persistent headaches, seizures or convulsions, frequent migraines",substance abuse
"regurgitation during sleep, vomiting, nocturnal acid reflux, sulfur burps",gerd
"nocturnal acid reflux, vomiting, sulfur burps, regurgitation during sleep",gerd
"sulfur burps, vomiting, nocturnal acid reflux, regurgitation during sleep",gerd
"stomach_pain, ulcers_on_tongue, cough, acidity, chest_pain",gerd
"stomach_pain, cough, chest_pain, ulcers_on_tongue, acidity",gerd
"stomach_pain, cough, chest_pain, acidity, ulcers_on_tongue",gerd
"disorientation, olfactory hallucinations, neck cramps, smelling things that aren't there, tasting things that aren't there",migraine
"neck cramps, olfactory hallucinations, smelling things that aren't there, disorientation, tasting things that aren't there",migraine
"disorientation, tasting things that aren't there, olfactory hallucinations, smelling things that aren't there, neck cramps",migraine
"forgetting to do things, rejection sensitivity, guilt and anxiety, impulse purchasing, no concept of time, chronic hobby starting and dropping",adhd
"no concept of time, guilt and anxiety, forgetting to do things, rejection sensitivity, impulse purchasing, chronic hobby starting and dropping",adhd
"forgetting to do things, no concept of time, guilt and anxiety, impulse purchasing, rejection sensitivity, chronic hobby starting and dropping",adhd
"lack_of_concentration, chest_pain, headache, loss_of_balance, dizziness",hypertension
"dizziness, headache, lack_of_concentration, loss_of_balance, chest_pain",hypertension
"lack_of_concentration, chest_pain, dizziness, loss_of_balance, headache",hypertension
"burning_micturition, bladder_discomfort, continuous_feel_of_urine, foul_smell_of urine",urinary tract infection
"foul_smell_of urine, continuous_feel_of_urine, burning_micturition, bladder_discomfort",urinary tract infection
"continuous_feel_of_urine, foul_smell_of urine, burning_micturition, bladder_discomfort",urinary tract infection
"sneezing, mild fever",common cold
"mild fever, sneezing",common cold
"seeking novel stimuli to combat tiredness, fatigue, difficulty staying asleep",insomnia
"difficulty staying asleep, seeking novel stimuli to combat tiredness, fatigue",insomnia
"seeking novel stimuli to combat tiredness, difficulty staying asleep, fatigue",insomnia
"palpitations, drying_and_tingling_lips, fatigue, excessive_hunger, anxiety, headache, nausea, sweating, blurred_and_distorted_vision, irritability, vomiting, slurred_speech",hypoglycemia
"drying_and_tingling_lips, nausea, blurred_and_distorted_vision, sweating, palpitations, vomiting, slurred_speech, fatigue, irritability, excessive_hunger, anxiety, headache",hypoglycemia
"sweating, headache, anxiety, excessive_hunger, fatigue, palpitations, nausea, drying_and_tingling_lips, vomiting, blurred_and_distorted_vision, slurred_speech, irritability",hypoglycemia
"family_history, mucoid_sputum, fatigue, cough, breathlessness, high_fever",bronchial asthma
"breathlessness, cough, mucoid_sputum, fatigue, high_fever, family_history",bronchial asthma
"family_history, mucoid_sputum, high_fever, cough, breathlessness, fatigue",bronchial asthma
"skin_rash, nodal_skin_eruptions, itching",fungal infection
"skin_rash, itching, nodal_skin_eruptions",fungal infection
"nodal_skin_eruptions, skin_rash, itching",fungal infection
"skin_peeling, small_dents_in_nails, skin_rash, joint_pain, silver_like_dusting, inflammatory_nails",psoriasis
"skin_peeling, small_dents_in_nails, joint_pain, inflammatory_nails, silver_like_dusting, skin_rash",psoriasis
"small_dents_in_nails, inflammatory_nails, skin_peeling, silver_like_dusting, skin_rash, joint_pain",psoriasis
"high_fever, abdominal_pain, itching, weight_loss, vomiting, yellowish_skin, fatigue",jaundice
"high_fever, vomiting, fatigue, itching, yellowish_skin, abdominal_pain, weight_loss",jaundice
"vomiting, high_fever, abdominal_pain, itching, fatigue, yellowish_skin, weight_loss",jaundice
"chest_pain, loss_of_balance, lack_of_concentration, headache",hypertension
"lack_of_concentration, headache, loss_of_balance, chest_pain",hypertension
"headache, loss_of_balance, lack_of_concentration, chest_pain",hypertension
"self-harming behavior, feelings of hopelessness, history of misdiagnosis with borderline personality disorder, suicidal behavior or ideation, difficulty finding effective coping mechanisms",autism spectrum disorder
"self-harming behavior, difficulty finding effective coping mechanisms, history of misdiagnosis with borderline personality disorder, feelings of hopelessness, suicidal behavior or ideation",autism spectrum disorder
"self-harming behavior, suicidal behavior or ideation, history of misdiagnosis with borderline personality disorder, feelings of hopelessness, difficulty finding effective coping mechanisms",autism spectrum disorder
"mood swings or emotional sensitivity, difficulty maintaining attention, restlessness or inability to stay seated, intense focus on specific tasks or interests, initiating tasks without completion",adhd
"mood swings or emotional sensitivity, difficulty maintaining attention, initiating tasks without completion, restlessness or inability to stay seated, intense focus on specific tasks or interests",adhd
"mood swings or emotional sensitivity, intense focus on specific tasks or interests, restlessness or inability to stay seated, initiating tasks without completion, difficulty maintaining attention",adhd
"red_sore_around_nose, blister, skin_rash, yellow_crust_ooze, high_fever",impetigo
"high_fever, red_sore_around_nose, yellow_crust_ooze, blister, skin_rash",impetigo
"yellow_crust_ooze, skin_rash, high_fever, blister, red_sore_around_nose",impetigo
"polyuria, increased_appetite, weight_loss, excessive_hunger, irregular_sugar_level, obesity, restlessness, fatigue, blurred_and_distorted_vision",diabetes
"fatigue, blurred_and_distorted_vision, obesity, restlessness, weight_loss, polyuria, irregular_sugar_level, increased_appetite, excessive_hunger",diabetes
"fatigue, weight_loss, restlessness, increased_appetite, blurred_and_distorted_vision, obesity, excessive_hunger, irregular_sugar_level, polyuria",diabetes
"intense sadness or mood swings, loss of self-identity or self-worth, emotional overwhelm",menopausal syndrome
"emotional overwhelm, loss of self-identity or self-worth, intense sadness or mood swings",menopausal syndrome
"emotional overwhelm, intense sadness or mood swings, loss of self-identity or self-worth",menopausal syndrome
"difficulty swallowing, numbness in extremities",hepatitis c
"numbness in extremities, difficulty swallowing",hepatitis c
"visual disturbances, insomnia, flu-like symptoms, generalized anxiety, persistent weakness, panic attacks, muscle achiness, difficulty concentrating, chronic fatigue",chronic fatigue syndrome
"generalized anxiety, persistent weakness, panic attacks, difficulty concentrating, flu-like symptoms, insomnia, visual disturbances, chronic fatigue, muscle achiness",chronic fatigue syndrome
"chronic fatigue, visual disturbances, persistent weakness, generalized anxiety, panic attacks, difficulty concentrating, muscle achiness, insomnia, flu-like symptoms",chronic fatigue syndrome
"papules, redness",acne
"redness, papules",acne
"heart attack, chest pain, assisted ventilation",stroke
"assisted ventilation, chest pain, heart attack",stroke
"heart attack, assisted ventilation, chest pain",stroke
"joint pains, increased susceptibility to infections, muscle aches",depression
"muscle aches, joint pains, increased susceptibility to infections",depression
"increased susceptibility to infections, joint pains, muscle aches",depression
"hot flashes, night sweats, memory problems, joint pain, irregular periods, sleep disturbances, weight gain, vaginal dryness, decreased libido, thinning hair, mood swings, breast tenderness",menopausal syndrome
"weight gain, hot flashes, memory problems, joint pain, decreased libido, vaginal dryness, mood swings, thinning hair, breast tenderness, sleep disturbances, night sweats, irregular periods",menopausal syndrome
"night sweats, mood swings, sleep disturbances, irregular periods, vaginal dryness, memory problems, breast tenderness, weight gain, decreased libido, thinning hair, joint pain, hot flashes",menopausal syndrome
"increased_appetite, lethargy, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, fatigue, polyuria",diabetes
"increased_appetite, excessive_hunger, obesity, polyuria, blurred_and_distorted_vision, lethargy, restlessness, irregular_sugar_level, fatigue",diabetes
"increased_appetite, lethargy, irregular_sugar_level, polyuria, fatigue, blurred_and_distorted_vision, excessive_hunger, restlessness, obesity",diabetes
"liver tenderness, bloated feeling",hepatitis d
"bloated feeling, liver tenderness",hepatitis d
"joint_pain, vomiting, muscle_pain, nausea, diarrhoea, loss_of_appetite, mild_fever, yellowing_of_eyes, yellowish_skin, dark_urine",hepatitis a
"diarrhoea, loss_of_appetite, muscle_pain, joint_pain, nausea, dark_urine, mild_fever, yellowing_of_eyes, vomiting, yellowish_skin",hepatitis a
"dark_urine, joint_pain, vomiting, loss_of_appetite, mild_fever, diarrhoea, yellowing_of_eyes, muscle_pain, yellowish_skin, nausea",hepatitis a
"fatigue, swollen_legs, prominent_veins_on_calf, cramps, bruising, swollen_blood_vessels",varicose veins
"cramps, fatigue, swollen_blood_vessels, bruising, prominent_veins_on_calf, swollen_legs",varicose veins
"bruising, swollen_legs, fatigue, prominent_veins_on_calf, swollen_blood_vessels, cramps",varicose veins
"making vocal noises, foot tapping, sliding on the floor, jumping, hand flapping, humming, talking to self, finger movements, non-destructive body movements, touching face or hair, skin picking, squeaking noises, knuckle rubbing, leg shaking",autism spectrum disorder
